,time,low,high,open,close,volume
102,08:25:00,10243.73,10265.0,10264.41,10262.04,28.62027728
101,08:30:00,10247.1,10272.0,10262.03,10259.05,29.9922119
100,08:35:00,10254.7,10296.89,10257.45,10288.63,34.41400926
99,08:40:00,10282.5,10301.58,10286.79,10282.51,23.46696437
98,08:45:00,10280.16,10329.86,10282.5,10315.67,66.54299378
97,08:50:00,10290.0,10323.43,10316.41,10304.93,40.61108962
96,08:55:00,10256.46,10312.08,10304.47,10260.82,44.53241224
95,09:00:00,10264.77,10297.27,10266.43,10271.0,41.17674943
94,09:05:00,10246.0,10275.2,10271.0,10259.04,27.35657077
93,09:10:00,10246.16,10269.42,10259.04,10260.5,49.78525544
92,09:15:00,10245.0,10260.79,10258.98,10260.79,13.60084321
91,09:20:00,10230.66,10264.91,10261.09,10237.56,26.84391076
90,09:25:00,10225.01,10251.11,10235.64,10250.6,28.44210873
89,09:30:00,10238.94,10263.2,10250.2,10251.8,36.84823336
88,09:35:00,10226.86,10255.3,10251.81,10234.15,156.90889337
87,09:40:00,10183.61,10234.16,10234.15,10197.05,76.17640509
86,09:45:00,10190.71,10210.32,10197.91,10196.0,35.04097818
85,09:50:00,10167.6,10196.0,10196.0,10170.56,80.06538303
84,09:55:00,10160.02,10177.56,10171.63,10165.03,53.14531919
83,10:00:00,10151.99,10186.0,10164.9,10184.0,271.27932212
82,10:05:00,10156.79,10182.28,10182.28,10168.86,53.10286193
81,10:10:00,10150.0,10168.86,10168.86,10150.01,53.07375772
80,10:15:00,10132.72,10168.3,10150.01,10138.99,136.56235983
79,10:20:00,10138.99,10168.54,10139.0,10160.44,49.29326616
78,10:25:00,10155.1,10161.23,10160.45,10161.2,30.24856833
77,10:30:00,10155.0,10169.0,10161.2,10169.0,156.40619984
76,10:35:00,10169.99,10191.76,10169.99,10191.75,157.48170476
75,10:40:00,10191.75,10230.85,10191.76,10215.01,58.09027822
74,10:45:00,10183.62,10228.21,10215.01,10194.41,47.54699119
73,10:50:00,10183.64,10202.33,10194.41,10186.83,38.24428031
72,10:55:00,10172.12,10191.24,10186.83,10190.72,34.66569435
71,11:00:00,10182.0,10190.77,10189.01,10182.01,23.18713638
70,11:05:00,10182.7,10210.0,10183.0,10203.88,15.91541557
69,11:10:00,10203.7,10228.55,10206.13,10225.66,19.01306766
68,11:15:00,10212.69,10227.05,10225.66,10224.01,36.45913325
67,11:20:00,10200.21,10224.2,10224.01,10205.59,17.03048232
66,11:25:00,10204.3,10224.2,10206.73,10223.25,12.96133445
65,11:30:00,10202.97,10223.09,10221.31,10206.83,21.35332424
64,11:35:00,10206.06,10220.51,10206.83,10215.16,12.55003515
63,11:40:00,10201.0,10220.52,10215.16,10201.0,8.882193899999999
62,11:45:00,10182.0,10201.0,10201.0,10195.38,34.40474709
